,open,high,low,close,adjclose,volume,ticker
2018-08-26,6710.7998046875,6884.64013671875,6689.7099609375,6884.64013671875,6884.64013671875,4019000000.0,BTC-USD
2018-08-27,6891.080078125,7109.56005859375,6882.33984375,7096.27978515625,7096.27978515625,4659940000.0,BTC-USD
2018-08-28,7091.7099609375,7113.2998046875,6970.81982421875,7047.16015625,7047.16015625,4145880000.0,BTC-USD
2018-08-29,7043.759765625,7072.68994140625,6834.68994140625,6978.22998046875,6978.22998046875,4463250000.0,BTC-USD
2018-08-30,6973.97021484375,7057.169921875,6920.16015625,7037.580078125,7037.580078125,4495650000.0,BTC-USD
2018-08-31,7044.81005859375,7242.2900390625,7038.0498046875,7193.25,7193.25,4116050000.0,BTC-USD
2018-09-01,7189.580078125,7306.31005859375,7132.16015625,7272.72021484375,7272.72021484375,4329540000.0,BTC-USD
2018-09-02,7279.02978515625,7317.93994140625,7208.14990234375,7260.06005859375,7260.06005859375,4087760000.0,BTC-USD
2018-09-03,7263.0,7388.259765625,7255.43994140625,7361.66015625,7361.66015625,4273640000.0,BTC-USD
2018-09-04,7361.4599609375,7388.43017578125,6792.830078125,6792.830078125,6792.830078125,5800460000.0,BTC-USD
2018-09-05,6755.14013671875,6755.14013671875,6404.72021484375,6529.169921875,6529.169921875,5523470000.0,BTC-USD
2018-09-06,6528.919921875,6555.2900390625,6396.8701171875,6467.06982421875,6467.06982421875,4264680000.0,BTC-USD
2018-09-07,6460.169921875,6534.25,6197.52001953125,6225.97998046875,6225.97998046875,3835060000.0,BTC-USD
2018-09-08,6223.3798828125,6446.259765625,6201.22021484375,6300.85986328125,6300.85986328125,3671890000.0,BTC-USD
2018-09-09,6301.56982421875,6374.97998046875,6292.759765625,6329.7001953125,6329.7001953125,3714100000.0,BTC-USD
2018-09-10,6331.8798828125,6398.919921875,6260.2099609375,6321.2001953125,6321.2001953125,3849910000.0,BTC-USD
2018-09-11,6317.009765625,6363.8701171875,6265.08984375,6351.7998046875,6351.7998046875,4064230000.0,BTC-USD
2018-09-12,6354.240234375,6535.41015625,6354.240234375,6517.31005859375,6517.31005859375,4210910000.0,BTC-USD
2018-09-13,6515.41015625,6596.10009765625,6456.169921875,6512.7099609375,6512.7099609375,4076220000.0,BTC-USD
2018-09-14,6509.39990234375,6561.72021484375,6493.5498046875,6543.2001953125,6543.2001953125,3216300000.0,BTC-USD
2018-09-15,6536.68017578125,6544.330078125,6460.10009765625,6517.18017578125,6517.18017578125,3273730000.0,BTC-USD
2018-09-16,6514.06005859375,6540.2099609375,6257.52001953125,6281.2001953125,6281.2001953125,3910780000.0,BTC-USD
2018-09-17,6280.91015625,6384.18017578125,6265.7099609375,6371.2998046875,6371.2998046875,4180090000.0,BTC-USD
2018-09-18,6371.85009765625,6448.4599609375,6208.33984375,6398.5400390625,6398.5400390625,4431340000.0,BTC-USD
2018-09-19,6398.85009765625,6529.259765625,6395.9501953125,6519.669921875,6519.669921875,4348110000.0,BTC-USD
2018-09-20,6513.8701171875,6794.330078125,6496.35986328125,6734.9501953125,6734.9501953125,6531940000.0,BTC-USD
2018-09-21,6735.0498046875,6814.56005859375,6616.7998046875,6721.97998046875,6721.97998046875,4509660000.0,BTC-USD
2018-09-22,6715.31982421875,6766.14990234375,6679.419921875,6710.6298828125,6710.6298828125,4197500000.0,BTC-USD
2018-09-23,6704.77001953125,6713.56005859375,6580.89990234375,6595.41015625,6595.41015625,4177310000.0,BTC-USD
2018-09-24,6603.64013671875,6603.64013671875,6381.85986328125,6446.47021484375,6446.47021484375,4726180000.0,BTC-USD
2018-09-25,6452.7900390625,6585.91015625,6397.89013671875,6495.0,6495.0,4437300000.0,BTC-USD
2018-09-26,6495.2900390625,6712.10009765625,6464.9501953125,6676.75,6676.75,4606810000.0,BTC-USD
2018-09-27,6678.75,6785.02978515625,6598.31982421875,6644.1298828125,6644.1298828125,5014430000.0,BTC-USD
2018-09-28,6643.10009765625,6643.10009765625,6511.64990234375,6601.9599609375,6601.9599609375,4363690000.0,BTC-USD
2018-09-29,6604.7099609375,6643.77978515625,6566.5400390625,6625.56005859375,6625.56005859375,4002280000.0,BTC-USD
2018-09-30,6619.85009765625,6653.2998046875,6549.080078125,6589.6201171875,6589.6201171875,4000970000.0,BTC-USD
2018-10-01,6593.240234375,6611.83984375,6537.89990234375,6556.10009765625,6556.10009765625,3979260000.0,BTC-USD
2018-10-02,6553.85986328125,6571.4599609375,6454.02978515625,6502.58984375,6502.58984375,3887310000.0,BTC-USD
2018-10-03,6497.91015625,6603.31005859375,6497.91015625,6576.68994140625,6576.68994140625,3838410000.0,BTC-USD
2018-10-04,6574.14990234375,6623.6201171875,6557.41015625,6622.47998046875,6622.47998046875,3671500000.0,BTC-USD
2018-10-05,6622.4501953125,6628.5400390625,6577.7998046875,6588.31005859375,6588.31005859375,3259740000.0,BTC-USD
2018-10-06,6590.68017578125,6641.490234375,6557.0400390625,6602.9501953125,6602.9501953125,3306630000.0,BTC-USD
2018-10-07,6600.18994140625,6675.06005859375,6576.0400390625,6652.22998046875,6652.22998046875,3979460000.0,BTC-USD
2018-10-08,6653.080078125,6661.41015625,6606.93994140625,6642.64013671875,6642.64013671875,3580810000.0,BTC-USD
2018-10-09,6640.2900390625,6640.2900390625,6538.9599609375,6585.52978515625,6585.52978515625,3787650000.0,BTC-USD
2018-10-10,6586.740234375,6586.740234375,6243.740234375,6256.240234375,6256.240234375,5181640000.0,BTC-USD
2018-10-11,6239.25,6328.5,6236.47021484375,6274.580078125,6274.580078125,3783500000.0,BTC-USD
2018-10-12,6278.080078125,6308.509765625,6259.81005859375,6285.990234375,6285.990234375,3064030000.0,BTC-USD
2018-10-13,6288.490234375,6363.2099609375,6280.14990234375,6290.93017578125,6290.93017578125,3085320000.0,BTC-USD
2018-10-14,6292.64013671875,6965.06005859375,6258.68017578125,6596.5400390625,6596.5400390625,7370770000.0,BTC-USD
2018-10-15,6601.41015625,6673.58984375,6571.3701171875,6596.10986328125,6596.10986328125,4074800000.0,BTC-USD
2018-10-16,6590.52001953125,6601.2099609375,6517.4501953125,6544.43017578125,6544.43017578125,4088420000.0,BTC-USD
